1. [16, 10]
2. [1, 23]
3. [10, 24]
4. [10, 3]
5. [25, 14]
6. [9, 18]
7. [21, 14]
8. [26, 2]
9. [21, 3]
10. [6, 14]
11. [6, 30]
12. [13, 31]
13. [30, 14]
14. [14, 31]
15. [25, 28]
16. [6, 27]
17. [30, 3]
18. [16, 19]
19. [13, 13]
20. [19, 11]
21. [18, 26]
22. [16, 30]
23. [29, 13]
24. [14, 15]
25. [3, 10]
26. [10, 14]
27. [10, 25]
28. [9, 6]
29. [12, 10]
30. [14, 16]
31. [30, 2]
32. [6, 10]
33. [23, 22]
34. [16, 8]
35. [6, 17]
36. [16, 9]
37. [24, 29]
38. [16, 30]
39. [17, 7]
40. [17, 12]
41. [14, 14]
42. [29, 30]
43. [24, 4]
44. [20, 26]
45. [14, 14]
46. [3, 10]
47. [28, 13]
48. [30, 24]
49. [30, 16]
50. [10, 13]
51. [4, 12]
52. [10, 16]
53. [6, 7]
54. [30, 23]
55. [24, 6]
56. [31, 27]
57. [17, 4]
58. [13, 2]
59. [14, 17]
60. [30, 13]
61. [10, 7]
62. [6, 16]
63. [16, 10]
64. [18, 14]
65. [8, 25]
66. [10, 17]
67. [28, 17]
68. [13, 13]
69. [21, 4]
70. [6, 23]
71. [16, 10]
72. [6, 16]
73. [2, 1]
74. [6, 17]
75. [14, 5]
76. [6, 14]
77. [10, 23]
78. [6, 11]
79. [13, 30]
80. [13, 14]
81. [4, 30]
82. [25, 20]
83. [5, 2]
84. [17, 18]
85. [16, 14]
86. [28, 30]
87. [18, 17]
88. [15, 23]
89. [21, 20]
90. [19, 18]
91. [14, 16]
92. [20, 13]
93. [31, 2]
94. [14, 3]
95. [14, 30]
96. [7, 28]
97. [30, 28]
98. [6, 25]
99. [16, 16]
100. [14, 16]
101. [10, 13]
102. [25, 26]
103. [30, 13]
104. [10, 16]
105. [6, 26]
106. [14, 15]
107. [14, 13]
108. [13, 31]
109. [14, 18]
110. [16, 30]
111. [15, 7]
112. [9, 13]
113. [13, 8]
114. [27, 6]
115. [13, 30]
116. [11, 24]
117. [27, 8]
118. [19, 30]
119. [3, 30]
120. [22, 10]
121. [17, 5]
122. [6, 25]
123. [14, 23]
124. [27, 8]
125. [4, 18]
126. [24, 2]
127. [14, 10]
128. [7, 12]
129. [7, 6]
130. [14, 10]
131. [30, 16]
132. [13, 6]
133. [30, 5]
134. [6, 31]
135. [24, 5]
136. [8, 30]
137. [20, 22]
138. [27, 23]
139. [7, 6]
140. [14, 13]
141. [1, 4]
142. [13, 14]
143. [7, 14]
144. [14, 30]
145. [30, 9]
146. [16, 6]
147. [6, 24]
148. [20, 24]
149. [13, 30]
150. [6, 3]
151. [24, 21]
152. [15, 23]
153. [30, 30]
154. [25, 14]
155. [20, 13]
156. [18, 14]
157. [11, 8]
158. [28, 1]
159. [5, 8]
160. [2, 16]
161. [10, 20]
162. [19, 6]
163. [6, 16]
164. [3, 1]
165. [25, 9]
166. [4, 4]
167. [14, 16]
168. [30, 6]
169. [16, 30]
170. [26, 10]
171. [19, 16]
172. [17, 10]
173. [22, 10]
174. [8, 2]
175. [10, 30]
176. [26, 13]
177. [15, 16]
178. [28, 6]
179. [1, 6]
180. [6, 13]
181. [6, 9]
182. [2, 25]
183. [16, 29]
184. [3, 9]
185. [6, 14]
186. [11, 28]
187. [20, 24]
188. [1, 5]
189. [15, 13]
190. [7, 13]
191. [13, 15]
192. [30, 5]
193. [16, 14]
194. [5, 28]
195. [24, 16]
196. [14, 3]
197. [6, 17]
198. [15, 29]
199. [23, 6]
200. [2, 14]
201. [4, 13]
202. [7, 9]
203. [7, 31]
204. [10, 23]
205. [13, 24]
206. [12, 13]
207. [14, 16]
208. [6, 1]
209. [29, 13]
210. [11, 13]
211. [30, 29]
212. [16, 14]
213. [14, 30]
214. [6, 21]
215. [19, 6]
216. [30, 4]
217. [10, 18]
218. [15, 21]
219. [10, 13]
220. [3, 8]
221. [30, 13]
222. [25, 14]
223. [29, 10]
224. [13, 20]
225. [30, 31]
226. [15, 16]
227. [18, 10]
228. [26, 10]
229. [24, 7]
230. [16, 20]
231. [30, 19]
232. [28, 19]
233. [10, 20]
234. [29, 18]
235. [30, 6]
236. [14, 28]
237. [15, 11]
238. [10, 9]
239. [10, 6]
240. [11, 13]
241. [31, 10]
242. [30, 14]
243. [28, 14]
244. [19, 1]
245. [31, 12]
246. [30, 20]
247. [27, 16]
248. [6, 15]
249. [13, 6]
250. [14, 21]
251. [10, 30]
252. [6, 16]
253. [22, 17]
254. [15, 19]
255. [10, 9]
256. [6, 21]
257. [11, 18]
258. [16, 22]
259. [30, 14]
260. [5, 10]
261. [16, 5]
262. [24, 5]
263. [30, 6]
264. [2, 18]
265. [3, 13]
266. [26, 14]
267. [12, 8]
268. [6, 27]
269. [19, 6]
270. [10, 10]
271. [25, 22]
272. [10, 31]
273. [5, 24]
274. [6, 13]
275. [5, 30]
276. [21, 10]
277. [26, 5]
278. [31, 10]
279. [30, 6]
280. [30, 18]
281. [4, 18]
282. [4, 24]
283. [23, 11]
284. [12, 30]
285. [10, 31]
286. [24, 5]
287. [17, 10]
288. [31, 16]
289. [14, 14]
290. [16, 21]
291. [16, 31]
292. [16, 14]
293. [13, 19]
294. [21, 30]
295. [25, 24]
296. [25, 20]
297. [29, 14]
298. [13, 24]
299. [16, 14]
300. [10, 5]
301. [14, 1]
302. [6, 17]
303. [3, 6]
304. [25, 14]
305. [6, 16]
306. [14, 10]
307. [4, 9]
308. [17, 22]
309. [5, 9]
310. [16, 25]
311. [14, 23]
312. [9, 30]
